Time,CORE_ZN_TZONE:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_ZN_TZONE:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_ZN_TZONE:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_ZN_TZONE:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],CORE_ZN_TZONE::Des Latent Heat Load [W],CORE_ZN_TZONE::Des Latent Cool Load [W],CORE_ZN_TZONE::Des Latent Heat Mass Flow [kg/s],CORE_ZN_TZONE::Des Latent Cool Mass Flow [kg/s],CORE_ZN_TZONE::Des Heat Load No DOAS [W],CORE_ZN_TZONE::Des Sens Cool Load No DOAS [W],CORE_ZN_TZONE::Des Latent Heat Load No DOAS [W],CORE_ZN_TZONE::Des Latent Cool Load No DOAS [W],CORE_ZN_TZONE:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],CORE_ZN_TZONE:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],CORE_ZN_TZONE:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],CORE_ZN_TZONE:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%],PERIMETER_ZN_1_TZONE:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_1_TZONE:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_1_TZONE:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_1_TZONE:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_1_TZONE::Des Latent Heat Load [W],PERIMETER_ZN_1_TZONE::Des Latent Cool Load [W],PERIMETER_ZN_1_TZONE::Des Latent Heat Mass Flow [kg/s],PERIMETER_ZN_1_TZONE::Des Latent Cool Mass Flow [kg/s],PERIMETER_ZN_1_TZONE::Des Heat Load No DOAS [W],PERIMETER_ZN_1_TZONE::Des Sens Cool Load No DOAS [W],PERIMETER_ZN_1_TZONE::Des Latent Heat Load No DOAS [W],PERIMETER_ZN_1_TZONE::Des Latent Cool Load No DOAS [W],PERIMETER_ZN_1_TZONE:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],PERIMETER_ZN_1_TZONE:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],PERIMETER_ZN_1_TZONE:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],PERIMETER_ZN_1_TZONE:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%],PERIMETER_ZN_2_TZONE:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_2_TZONE:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_2_TZONE:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_2_TZONE:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_2_TZONE::Des Latent Heat Load [W],PERIMETER_ZN_2_TZONE::Des Latent Cool Load [W],PERIMETER_ZN_2_TZONE::Des Latent Heat Mass Flow [kg/s],PERIMETER_ZN_2_TZONE::Des Latent Cool Mass Flow [kg/s],PERIMETER_ZN_2_TZONE::Des Heat Load No DOAS [W],PERIMETER_ZN_2_TZONE::Des Sens Cool Load No DOAS [W],PERIMETER_ZN_2_TZONE::Des Latent Heat Load No DOAS [W],PERIMETER_ZN_2_TZONE::Des Latent Cool Load No DOAS [W],PERIMETER_ZN_2_TZONE:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],PERIMETER_ZN_2_TZONE:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],PERIMETER_ZN_2_TZONE:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],PERIMETER_ZN_2_TZONE:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%],PERIMETER_ZN_3_TZONE:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_3_TZONE:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_3_TZONE:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_3_TZONE:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_3_TZONE::Des Latent Heat Load [W],PERIMETER_ZN_3_TZONE::Des Latent Cool Load [W],PERIMETER_ZN_3_TZONE::Des Latent Heat Mass Flow [kg/s],PERIMETER_ZN_3_TZONE::Des Latent Cool Mass Flow [kg/s],PERIMETER_ZN_3_TZONE::Des Heat Load No DOAS [W],PERIMETER_ZN_3_TZONE::Des Sens Cool Load No DOAS [W],PERIMETER_ZN_3_TZONE::Des Latent Heat Load No DOAS [W],PERIMETER_ZN_3_TZONE::Des Latent Cool Load No DOAS [W],PERIMETER_ZN_3_TZONE:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],PERIMETER_ZN_3_TZONE:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],PERIMETER_ZN_3_TZONE:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],PERIMETER_ZN_3_TZONE:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%],PERIMETER_ZN_4_TZONE:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_4_TZONE:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_4_TZONE:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_4_TZONE:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_4_TZONE::Des Latent Heat Load [W],PERIMETER_ZN_4_TZONE::Des Latent Cool Load [W],PERIMETER_ZN_4_TZONE::Des Latent Heat Mass Flow [kg/s],PERIMETER_ZN_4_TZONE::Des Latent Cool Mass Flow [kg/s],PERIMETER_ZN_4_TZONE::Des Heat Load No DOAS [W],PERIMETER_ZN_4_TZONE::Des Sens Cool Load No DOAS [W],PERIMETER_ZN_4_TZONE::Des Latent Heat Load No DOAS [W],PERIMETER_ZN_4_TZONE::Des Latent Cool Load No DOAS [W],PERIMETER_ZN_4_TZONE:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],PERIMETER_ZN_4_TZONE:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],PERIMETER_ZN_4_TZONE:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],PERIMETER_ZN_4_TZONE:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%]
00:15:00,4.404345E+03,5.169648E+02,2.159603E-01,4.220916E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,4.810381E+01,2.600000E+01,6.702796E+01,3.605095E+03,4.667580E+02,1.767703E-01,3.810987E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,4.810381E+01,2.600000E+01,6.702796E+01,2.445788E+03,4.772588E+02,1.199255E-01,3.896724E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,4.810381E+01,2.600000E+01,6.702796E+01,3.568238E+03,4.590235E+02,1.749631E-01,3.747836E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,4.810381E+01,2.600000E+01,6.702796E+01,2.442543E+03,4.672776E+02,1.197664E-01,3.815229E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,4.810381E+01,2.600000E+01,6.702796E+01
00:30:00,4.400384E+03,4.831136E+02,2.157661E-01,3.944528E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,4.810381E+01,2.600000E+01,6.702796E+01,3.602385E+03,4.370940E+02,1.766374E-01,3.568787E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,4.810381E+01,2.600000E+01,6.702796E+01,2.444341E+03,4.529889E+02,1.198545E-01,3.698565E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,4.810381E+01,2.600000E+01,6.702796E+01,3.565506E+03,4.288113E+02,1.748291E-01,3.501160E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,4.810381E+01,2.600000E+01,6.702796E+01,2.441095E+03,4.408435E+02,1.196954E-01,3.599400E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,4.810381E+01,2.600000E+01,6.702796E+01
00:45:00,4.396497E+03,4.501324E+02,2.155755E-01,3.675243E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,4.810381E+01,2.600000E+01,6.702796E+01,3.599726E+03,4.083491E+02,1.765071E-01,3.334090E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,4.810381E+01,2.600000E+01,6.702796E+01,2.442923E+03,4.294939E+02,1.197850E-01,3.506733E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,4.810381E+01,2.600000E+01,6.702796E+01,3.562826E+03,3.996436E+02,1.746977E-01,3.263011E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,4.810381E+01,2.600000E+01,6.702796E+01,2.439675E+03,4.155861E+02,1.196258E-01,3.393179E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,4.810381E+01,2.600000E+01,6.702796E+01
01:00:00,4.392683E+03,4.180733E+02,2.153885E-01,3.413486E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,4.810381E+01,2.600000E+01,6.702796E+01,3.597119E+03,3.805217E+02,1.763792E-01,3.106885E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,4.810381E+01,2.600000E+01,6.702796E+01,2.441532E+03,4.067583E+02,1.197168E-01,3.321101E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,4.810381E+01,2.600000E+01,6.702796E+01,3.560198E+03,3.715041E+02,1.745689E-01,3.033258E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,4.810381E+01,2.600000E+01,6.702796E+01,2.438284E+03,3.914349E+02,1.195575E-01,3.195989E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,4.810381E+01,2.600000E+01,6.702796E+01
01:15:00,4.393039E+03,3.884176E+02,2.154059E-01,3.171353E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,4.810381E+01,2.600000E+01,6.702796E+01,3.597367E+03,3.546566E+02,1.763914E-01,2.895701E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,4.810381E+01,2.600000E+01,6.702796E+01,2.441667E+03,3.853037E+02,1.197234E-01,3.145929E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,4.810381E+01,2.600000E+01,6.702796E+01,3.560447E+03,3.454311E+02,1.745811E-01,2.820377E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,4.810381E+01,2.600000E+01,6.702796E+01,2.438418E+03,3.688431E+02,1.195641E-01,3.011531E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,4.810381E+01,2.600000E+01,6.702796E+01
01:30:00,4.393388E+03,3.598946E+02,2.154231E-01,2.938469E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,4.810381E+01,2.600000E+01,6.702796E+01,3.597609E+03,3.298466E+02,1.764033E-01,2.693132E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,4.810381E+01,2.600000E+01,6.702796E+01,2.441799E+03,3.646911E+02,1.197299E-01,2.977631E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,4.810381E+01,2.600000E+01,6.702796E+01,3.560692E+03,3.204949E+02,1.745931E-01,2.616778E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,4.810381E+01,2.600000E+01,6.702796E+01,2.438550E+03,3.473464E+02,1.195706E-01,2.836015E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,4.810381E+01,2.600000E+01,6.702796E+01
01:45:00,4.393731E+03,3.326394E+02,2.154399E-01,2.715935E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,4.810381E+01,2.600000E+01,6.702796E+01,3.597848E+03,3.061674E+02,1.764150E-01,2.499796E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,4.810381E+01,2.600000E+01,6.702796E+01,2.441928E+03,3.449725E+02,1.197362E-01,2.816632E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,4.810381E+01,2.600000E+01,6.702796E+01,3.560931E+03,2.967606E+02,1.746048E-01,2.422992E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,4.810381E+01,2.600000E+01,6.702796E+01,2.438680E+03,3.269584E+02,1.195769E-01,2.669551E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,4.810381E+01,2.600000E+01,6.702796E+01
02:00:00,4.394067E+03,3.067452E+02,2.154564E-01,2.504514E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,4.810381E+01,2.600000E+01,6.702796E+01,3.598081E+03,2.836742E+02,1.764264E-01,2.316144E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,4.810381E+01,2.600000E+01,6.702796E+01,2.442054E+03,3.261854E+02,1.197424E-01,2.663240E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,4.810381E+01,2.600000E+01,6.702796E+01,3.561167E+03,2.742726E+02,1.746164E-01,2.239382E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,4.810381E+01,2.600000E+01,6.702796E+01,2.438806E+03,3.076828E+02,1.195831E-01,2.512170E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,4.810381E+01,2.600000E+01,6.702796E+01
02:15:00,4.394398E+03,2.822089E+02,2.154726E-01,2.304180E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,4.810381E+01,2.600000E+01,6.702796E+01,3.598311E+03,2.623064E+02,1.764377E-01,2.141680E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,4.810381E+01,2.600000E+01,6.702796E+01,2.442179E+03,3.082916E+02,1.197485E-01,2.517140E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,4.810381E+01,2.600000E+01,6.702796E+01,3.561397E+03,2.529650E+02,1.746277E-01,2.065409E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,4.810381E+01,2.600000E+01,6.702796E+01,2.438931E+03,2.894523E+02,1.195892E-01,2.363321E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,4.810381E+01,2.600000E+01,6.702796E+01
02:30:00,4.394722E+03,2.589188E+02,2.154885E-01,2.114021E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,4.810381E+01,2.600000E+01,6.702796E+01,3.598535E+03,2.419938E+02,1.764487E-01,1.975832E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,4.810381E+01,2.600000E+01,6.702796E+01,2.442300E+03,2.912347E+02,1.197545E-01,2.377874E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,4.810381E+01,2.600000E+01,6.702796E+01,3.561624E+03,2.327541E+02,1.746388E-01,1.900392E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,4.810381E+01,2.600000E+01,6.702796E+01,2.439052E+03,2.721852E+02,1.195952E-01,2.222339E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,4.810381E+01,2.600000E+01,6.702796E+01
02:45:00,4.395039E+03,2.367586E+02,2.155040E-01,1.933087E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,4.810381E+01,2.600000E+01,6.702796E+01,3.598756E+03,2.226594E+02,1.764595E-01,1.817970E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,4.810381E+01,2.600000E+01,6.702796E+01,2.442420E+03,2.749539E+02,1.197603E-01,2.244944E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,4.810381E+01,2.600000E+01,6.702796E+01,3.561846E+03,2.135531E+02,1.746497E-01,1.743619E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,4.810381E+01,2.600000E+01,6.702796E+01,2.439172E+03,2.557990E+02,1.196011E-01,2.088548E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,4.810381E+01,2.600000E+01,6.702796E+01
03:00:00,4.395351E+03,2.156444E+02,2.155193E-01,1.760694E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,4.810381E+01,2.600000E+01,6.702796E+01,3.598972E+03,2.042442E+02,1.764701E-01,1.667613E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,4.810381E+01,2.600000E+01,6.702796E+01,2.442537E+03,2.594019E+02,1.197661E-01,2.117966E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,4.810381E+01,2.600000E+01,6.702796E+01,3.562064E+03,1.952956E+02,1.746604E-01,1.594550E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,4.810381E+01,2.600000E+01,6.702796E+01,2.439289E+03,2.402285E+02,1.196068E-01,1.961419E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,4.810381E+01,2.600000E+01,6.702796E+01
03:15:00,4.395658E+03,1.954659E+02,2.155344E-01,1.595941E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,4.810381E+01,2.600000E+01,6.702796E+01,3.599184E+03,1.866212E+02,1.764805E-01,1.523725E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,4.810381E+01,2.600000E+01,6.702796E+01,2.442652E+03,2.444883E+02,1.197717E-01,1.996199E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,4.810381E+01,2.600000E+01,6.702796E+01,3.562277E+03,1.778529E+02,1.746708E-01,1.452134E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,4.810381E+01,2.600000E+01,6.702796E+01,2.439404E+03,2.253690E+02,1.196124E-01,1.840094E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,4.810381E+01,2.600000E+01,6.702796E+01
03:30:00,4.395958E+03,1.760599E+02,2.155491E-01,1.437495E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,4.810381E+01,2.600000E+01,6.702796E+01,3.599393E+03,1.696792E+02,1.764907E-01,1.385397E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,4.810381E+01,2.600000E+01,6.702796E+01,2.442764E+03,2.301240E+02,1.197772E-01,1.878917E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,4.810381E+01,2.600000E+01,6.702796E+01,3.562487E+03,1.611048E+02,1.746811E-01,1.315389E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,4.810381E+01,2.600000E+01,6.702796E+01,2.439516E+03,2.111192E+02,1.196179E-01,1.723747E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,4.810381E+01,2.600000E+01,6.702796E+01
03:45:00,4.396253E+03,1.572850E+02,2.155636E-01,1.284201E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,4.810381E+01,2.600000E+01,6.702796E+01,3.599597E+03,1.533174E+02,1.765007E-01,1.251806E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,4.810381E+01,2.600000E+01,6.702796E+01,2.442874E+03,2.162274E+02,1.197826E-01,1.765454E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,4.810381E+01,2.600000E+01,6.702796E+01,3.562692E+03,1.449446E+02,1.746912E-01,1.183444E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,4.810381E+01,2.600000E+01,6.702796E+01,2.439626E+03,1.973873E+02,1.196234E-01,1.611628E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,4.810381E+01,2.600000E+01,6.702796E+01
